,Time,Total,Yes,Percentage
0,1,33,17,51.5
1,2,17,9,52.9
2,3,5,1,20.0
3,4,10,7,70.0
4,5,4,3,75.0
5,6,4,1,25.0
6,7,10,4,40.0
7,8,5,1,20.0
8,9,3,2,66.7
9,10,6,3,50.0
10,12,1,0,0.0
11,13,1,0,0.0
12,14,3,3,100.0
13,15,3,2,66.7
